NAME,REVENUE
Village of Adams,3178676
Village of Addison,1610971.25
Village of Afton,707797.57
Village of Airmont,4072737
Village of Akron,9125514
Village of Albion,7725622
Village of Alden,3264491
Village of Alexander,771478.91
Village of Alexandria Bay,2791735
Village of Alfred,2511348
Village of Allegany,2042812.1
Village of Altamont,2021343.3
Village of Ames,111305.1
Village of Amityville,17677367
Village of Andover,1093811.16
Village of Angelica,1393405
Village of Angola,2727469
Village of Antwerp,733554.9
Village of Arcade,14379165
Village of Ardsley,15296043
Village of Argyle,91001
Village of Arkport,740179.39
Village of Asharoken,2079117
Village of Athens,1976927.77
Village of Atlantic Beach,3767825
Village of Attica,3226565.9
Village of Aurora,747433.14
Village of Avoca,713266.14
Village of Avon,4153961.66
Village of Babylon,10651232
Village of Bainbridge,1174412
Village of Baldwinsville,6062375.04
Village of Ballston Spa,6949062
Village of Barker,402580
Village of Bath,15999961
Village of Baxter Estates,984265
Village of Bayville,7816723.66
Village of Belle Terre,1809344
Village of Bellerose,1631223
Village of Bellport,7766112
Village of Belmont,887292.85
Village of Bergen,3623045
Village of Black River,1434554
Village of Blasdell,2470848
Village of Bloomfield,1394500.41
Village of Bolivar,800321.63
Village of Boonville,7179565.15
Village of Brewster,4686458
Village of Briarcliff Manor,24393876
Village of Brightwaters,3405521
Village of Broadalbin,1150940.63
Village of Brockport,7765451.78
Village of Brocton,2485143
Village of Bronxville,16882344.07
Village of Brookville,5106267
Village of Brownville,1112259.06
Village of Brushton,56122.21
Village of Buchanan,11004207
Village of Burdett,484185.72
Village of Burke,68344.1
Village of Caledonia,2033636
Village of Cambridge,1449421.66
Village of Camden,1635915
Village of Camillus,1355043.47
Village of Canajoharie,3279761.82
Village of Canaseraga,1346631.62
Village of Canastota,4982193.73
Village of Candor,472095.33
Village of Canisteo,1939051.02
Village of Canton,6369690
Village of Cape Vincent,1755162
Village of Carthage,3196090.15
Village of Cassadaga,638068.04
Village of Castile,1856689.66
Village of Castleton-On-Hudson,2038860
Village of Castorland,196249.81
Village of Cato,380810.93
Village of Catskill,6818412
Village of Cattaraugus,1665335.01
Village of Cayuga,934334.9
Village of Cayuga Heights,6738793.86
Village of Cazenovia,3478426.31
Village of Celoron,915617.35
Village of Central Square,1732537
Village of Centre Island,2996773
Village of Champlain,1118054.48
Village of Chateaugay,717705.89
Village of Chatham,2352287
Village of Chaumont,1232785
Village of Cherry Valley,382823.74
Village of Chester,7584238
Village of Chestnut Ridge,3873843
Village of Chittenango,4271405.33
Village of Churchville,3872673
Village of Clayton,5220081
Village of Clayville,524056.5
Village of Cleveland,1081868.84
Village of Clifton Springs,2514183
Village of Clinton,2862237.52
Village of Clyde,2321866
Village of Cobleskill,6914514.18
Village of Cohocton,719844.55
Village of Cold Brook,36539
Village of Cold Spring,3563960
Village of Colonie,7245527
Village of Constableville,247923.05
Village of Cooperstown,5222265.86
Village of Copenhagen,873625.53
Village of Corfu,843449
Village of Corinth,6671104.98
Village of Cornwall-On-Hudson,9012172.24
Village of Cove Neck,1500637
Village of Coxsackie,4120057
Village of Croghan,342697.05
Village of Croton-On-Hudson,23765909
Village of Cuba,1654288
Village of Dannemora,1882629
Village of Dansville,6682533.18
Village of De Ruyter,349858.22
Village of Deferiet,615069
Village of Delanson,307840.6
Village of Delevan,551043.11
